title,slug,category,shortDescription,specs,fleetQty,fleetNumbers,ownership,operatorAvailable,deliveryClass,image,sortOrder,active
Toyota Hilux 2.4 GD-6 Single Cab 4x4,toyota-hilux-2-4-gd-6-single-cab-4x4,Vehicle Hire — LDVs & Bakkies,4x4 single cab for rough-terrain and off-road site access.,2.4 GD-6 turbo diesel|4x4|Single cab,1,ECR034,Owned,No,Light,toyota-hilux-2-4-gd-6-single-cab-4x4.webp,44,TRUE
Toyota Hilux 2.4 GD-6 Extended Cab,toyota-hilux-2-4-gd-6-extended-cab,Vehicle Hire — LDVs & Bakkies,Extended cab combining crew space with a usable load bin.,2.4 GD-6 turbo diesel|Extended cab|Load bin,1,ECR081,Owned,No,Light,toyota-hilux-2-4-gd-6-extended-cab.webp,45,TRUE
Toyota Hilux VVTi Single Cab (2.0 / 2.2 / 2.4 / 3.0),toyota-hilux-vvti-single-cab-2-0-2-2-2-4-3-0,Vehicle Hire — LDVs & Bakkies,Petrol single cab bakkies for light-duty site and admin transport.,2.0 / 2.2 / 2.4 / 3.0 VVTi petrol|Single cab|Load bin,4,"ECR018, ECR019, ECR020, ECR047 (ECR046 written off)",Owned,No,Light,toyota-hilux-vvti-single-cab-2-0-2-2-2-4-3-0.webp,46,TRUE
Toyota Hilux 2.4 GD Single Cab with Cable Rack,toyota-hilux-2-4-gd-single-cab-with-cable-rack,Vehicle Hire — LDVs & Bakkies,Single cab fitted with a cable rack for electrical and cable-pulling crews.,2.4 GD turbo diesel|Single cab|Fitted cable rack,3,"ECR014, ECR033, ECR043",Owned,No,Light,toyota-hilux-2-4-gd-single-cab-with-cable-rack.webp,47,TRUE
Nissan NP200,nissan-np200,Vehicle Hire — LDVs & Bakkies,Economical half-tonne LDV for light deliveries and site runs.,Half-tonne payload|Fuel efficient|Ideal for light logistics,3,"ECR040, ECR083, ECR084",Owned,No,Light,nissan-np200.webp,48,TRUE
Hyundai H100 Dropside,hyundai-h100-dropside,Vehicle Hire — LDVs & Bakkies,Dropside light truck for palletised and awkward-load deliveries.,Dropside body|Light truck payload|Easy side loading,2,"ECR057, ECR058",Owned,No,Light,hyundai-h100-dropside.webp,49,TRUE
Toyota Quantum 14-Seater,toyota-quantum-14-seater,Personnel Transport,14-seat crew bus for daily site transport — the standard for our project crews.,14 seats|Air conditioned|Professional driver available,2,"ECR013, ECR042",Owned,Yes,Light,toyota-quantum-14-seater.webp,50,TRUE
Toyota Quantum / Hi-Ace 16-Seater,toyota-quantum-hi-ace-16-seater,Personnel Transport,16-seat personnel carrier for larger crew movements.,16 seats|Air conditioned|Professional driver available,2,"ECR015, ECR077",Owned,Yes,Light,toyota-quantum-hi-ace-16-seater.webp,51,TRUE
Toyota Quantum 10-Seater,toyota-quantum-10-seater,Personnel Transport,10-seat bus for supervisor and small-team transport.,10 seats|Air conditioned|Professional driver available,1,ECR012,Owned,Yes,Light,toyota-quantum-10-seater.webp,52,TRUE
Mercedes-Benz Sprinter 23-Seater,mercedes-benz-sprinter-23-seater,Personnel Transport,23-seat executive-capacity bus for large crew shuttles and site tours.,23 seats|Air conditioned|Professional driver available,1,ECR011,Owned,Yes,Light,mercedes-benz-sprinter-23-seater.webp,53,TRUE
VW Crafter 23-Seater,vw-crafter-23-seater,Personnel Transport,23-seat personnel bus for shift and shuttle transport.,23 seats|Air conditioned|Professional driver available,1,ECR054,Owned,Yes,Light,vw-crafter-23-seater.webp,54,TRUE
6m V-Tec Trailer,6m-v-tec-trailer,Trailers,6-metre general-purpose braked trailer for plant and material transport.,"Length: 6 m|Braked|Road legal, licensed",1,ECR017,Owned,No,Light,6m-v-tec-trailer.webp,55,TRUE
4m V-Tec Trailer,4m-v-tec-trailer,Trailers,4-metre general-purpose trailer for lighter loads and tool transport.,"Length: 4 m|Braked|Road legal, licensed",1,ECR024,Owned,No,Light,4m-v-tec-trailer.webp,56,TRUE
V-Tec Cable Trailer,v-tec-cable-trailer,Trailers,Purpose-built cable drum trailer for cable delivery and pulling operations.,"Cable drum carrier|Road legal, licensed|Pairs with cable jacks",1,ECR051,Owned,No,Light,v-tec-cable-trailer.webp,57,TRUE
6m Flatbed Trailer,6m-flatbed-trailer,Trailers,6-metre flatbed trailers — our most-hired trailer for general site logistics.,"Length: 6 m|Flatbed deck|Road legal, licensed",4,ECR062–ECR065,Owned,No,Light,6m-flatbed-trailer.webp,58,TRUE
10T UBT Drawbar Truck Trailer,10t-ubt-drawbar-truck-trailer,Trailers,10-tonne drawbar trailer to extend truck payload on long-haul deliveries.,"Capacity: 10 t|Drawbar configuration|Road legal, licensed",1,ECR025,Owned,No,Heavy,10t-ubt-drawbar-truck-trailer.webp,59,TRUE
CVE Truck Trailer,cve-truck-trailer,Trailers,Truck trailer for heavy site logistics and plant movement.,"Truck trailer|Road legal, licensed",1,ECR050,Owned,No,Heavy,cve-truck-trailer.webp,60,TRUE
Box Trailers (Venter / Karet / Challenger),box-trailers-venter-karet-challenger,Trailers,"Enclosed and open box trailers for secure tool, spares and consumable transport.","Venter, Karet and Challenger units|Lockable options|Road legal, licensed",4,"ECR037, ECR038, ECR039, ECR061",Owned,No,Light,box-trailers-venter-karet-challenger.webp,61,TRUE
Water Trailer,water-trailer,Trailers,"Towable water bowser for dust suppression, compaction and site water supply.","Towable water bowser|Dust suppression & compaction|Road legal, licensed",1,ECR067,Owned,No,Light,water-trailer.webp,62,TRUE
